"as_of_date","borrower_contract_reference_number","borrower_country","borrower_country_code","contract_description","contract_signing_date","fiscal_year","major_sector","procurement_category","procurement_method","procurement_type","product_line","project_id","project_name","region","supplier","supplier_contract_amount_usd","supplier_country","supplier_country_code","wb_contract_number"
"2018-04-10T00:00:00.000","001/QCBS/TRANSCO-CLSG/PIU/11/201","Western Africa","3W","OWNER'S ENGINEER FOR THE CONSTRUCTION & GUARANTEE PERIOD (PH","2016-11-17T00:00:00.000","2017","Energy & Extractives","CONSULTANT SERVICES","Quality And Cost-Based Selection","Construction Supervision","IBRD/IDA","P113266","WAPP APL4 (Phase 1) CSLG","AFRICA","TRACTEBEL ENGINEERING S.A","11369452.15","Belgium","BE","1543951"
"2018-04-10T00:00:00.000","NO O_016-TSRP","Cabo Verde","CV","Travaux d'urgence dus Ã  l'Ouragan FRED dans l'Ã®le de Fogo","2016-11-25T00:00:00.000","2017","Transportation","CIVIL WORKS","Direct Selection","Works, Maintenance and Rehabilitation","IBRD/IDA","P126516","Cabo Verde - Transport Sector Reform","AFRICA","ELEVOLUTION ENGENHARIA, SA–SUCURSAL CV","52808.55","Cabo Verde","CV","1544366"
"2018-04-10T00:00:00.000","CCO/16/D/16/FADC","Comoros","KM","Â« 
Prestations de service financier relatif au paiement de","2016-09-22T00:00:00.000","2017","Social Protection","NON-CONSULTING SERVICES","Direct Selection","Other Operational Services","IBRD/IDA","P150754","Comoros Social Safety Net Project","AFRICA","UNION DES MECK","77680.69","Comoros","KM","1545322"
"2018-04-10T00:00:00.000","NO. 01037/2016/AOO/MSPS-PASMIN/F","Togo","TG","Fourniture, installation et mise en service de matÃÂ©riels","2016-12-29T00:00:00.000","2017","Health","GOODS","International Competitive Bidding","Equipment Information Technology","IBRD/IDA","P143843","TG- Maternal and Child Health Support","AFRICA","GROUPEMENT MEMETECH/Q&T S.P.A","505589.54","Italy","IT","1547293"
"2018-04-10T00:00:00.000","#","Zimbabwe","ZW","Supply and Delivery of ICT equipment","2016-09-22T00:00:00.000","2017","Water/Sanit/Waste","GOODS","Shopping","Equipment Information Technology","Recipient Executed A","P154861","Zimbabwe National Water Project","AFRICA","PANASONIC BUSINESS SYSTEMS","20878.23","Zimbabwe","ZW","1545093"
"2018-04-10T00:00:00.000","NO. 085/IDA/PTM2-SNCC/UPL/2016","Congo, Democrat","ZR","MISSION D ASSISTANCE TECHNIQUE ET DE LA MAINTENANCE DE LA  U","2016-10-10T00:00:00.000","2017","Transportation","CONSULTANT SERVICES","Single Source Selection","Management /Technical Advice","IBRD/IDA","P092537","DRC-Multi-Modal Transp","AFRICA","ITB-TRADETECH","83925.45","Belgium","BE","1543856"
"2018-04-10T00:00:00.000","CWSB/WASSIP-AF/W/1/2014/LOT 3","Kenya","KE","Supply & Construction of Kakuyuni to Gongoni & Kakuyuni to K","2016-09-27T00:00:00.000","2017","Water/Sanit/Waste","CIVIL WORKS","International Competitive Bidding","Works, Installation","IBRD/IDA","P096367","KE-Water & Sanitation Srv Impr (FY08)","AFRICA","CHINA HENAN INTERNATIONAL COOPERATION GROUP CO. LTD.","22862212.17","China","CN","1543807"
"2018-04-10T00:00:00.000","S/116/ICB/RP/IDA/2005","Ethiopia","ET","Consultancy Service for Modernization of the Ethiopian Roads","2016-10-07T00:00:00.000","2017","Transportation","CONSULTANT SERVICES","Quality And Cost-Based Selection","Management /Technical Advice","IBRD/IDA","P117731","Ethiopia-Transport Sector Project","AFRICA","SWEDISH NATIONAL ROAD CONSULTING AB","3105981.03","Sweden","SE","1544357"
"2018-04-10T00:00:00.000","MARCHE NO. 00752/DGMP/DSP2016","Mali","ML","TRAVAUX D'AMENAGEMENT, BITUMAGE ET LâECLAIRAGE
PUBLIC DE","2016-10-31T00:00:00.000","2017","Water/Sanit/Waste","CIVIL WORKS","International Competitive Bidding","Works, Infrastructure","IBRD/IDA","P116602","ML-Urban Local Government Support Projec","AFRICA","ENTREPRISE CECO-SA","3235002.49","Togo","TG","1544435"
"2018-04-10T00:00:00.000","NO.00754/DGMP/DSP2016","Mali","ML","Travaux d'amenagement, bitumage et d'eclairage public des ru","2016-10-31T00:00:00.000","2017","Public Admin","CIVIL WORKS","National Competitive Bidding","Works, Infrastructure","IBRD/IDA","P116602","ML-Urban Local Government Support Projec","AFRICA","ENT. & COMMERCE GENERAL FODE COULIBALY","2847988.99","Mali","ML","1544123"
"2018-04-10T00:00:00.000","MARCHE NO.00753/DGMP/DSP2016","Mali","ML","TRAVAUX DÃÆÃÂ¢  EXECUTION DU COLLECTEUR EN BETON ARME ET","2016-10-31T00:00:00.000","2017","Water/Sanit/Waste","CIVIL WORKS","National Competitive Bidding","Works, Infrastructure","IBRD/IDA","P116602","ML-Urban Local Government Support Projec","AFRICA","GROUPEMENT BECM-CG/DIAWARA SOLAR","1683869.89","Mali","ML","1544434"
"2018-04-10T00:00:00.000","NÃÂ°007-SC/UEPN-DDR/PRR/PM/2016","Congo, Democrat","ZR","FIRME EN CHARGE DE L' ACCOMPAGNEMENT TECHNIQUE DES EX-COMBAT","2016-10-26T00:00:00.000","2017","Social Protection","CONSULTANT SERVICES","Single Source Selection","Management /Technical Advice","IBRD/IDA","P152903","Reinsertion and Reintegration Project","AFRICA","FOOD AND AGRICULTURE ORGANIZATION OF UNITED NATIONS (FAO)","1280740.00","World","1W","1544192"
"2018-04-10T00:00:00.000","#","Burkina Faso","BF","Travaux de renforcement de la central thermique de Fada N'go","2016-11-21T00:00:00.000","2017","Energy & Extractives","CIVIL WORKS","International Competitive Bidding","Works, Maintenance and Rehabilitation","IBRD/IDA","P128768","BF-Electricity Sector Support Project","AFRICA","INTERNATIONAL MONTAGE MAINTENANCE S-A","15695311.78","Belgium","BE","1544501"
"2018-04-10T00:00:00.000","NÃÂ° 016/IDA/MINIPLAN/INS/PDS/A","Congo, Democrat","ZR","CONTRAT DE BAIL RELATIF A LA LOCATION DE LÃ¢  IMMEUBLE ABRIT","2016-09-28T00:00:00.000","2017","Public Admin","NON-CONSULTING SERVICES","National Competitive Bidding","Other Operational Services","IBRD/IDA","P150148","DRC - Statistics Development Project","AFRICA","MONIQUE MULEKA KATUENA BETU","60000.00","Congo, Democrat","ZR","1543213"
"2018-04-10T00:00:00.000","NÂ°006-SC/UEPN-DDR/PRR/PM/2016","Congo, Democrat","ZR","SERVICES DÃ¢  UN CONSULTANT (FIRME) EN CHARGE DE LÃ¢  ACCOMP","2016-10-04T00:00:00.000","2017","Social Protection","CONSULTANT SERVICES","Single Source Selection","Management /Technical Advice","IBRD/IDA","P152903","Reinsertion and Reintegration Project","AFRICA","CARITAS CONGO ASBL","690030.48","Congo, Democrat","ZR","1544190"
"2018-04-10T00:00:00.000","NÂ°005-SC/UEPN-DDR/PRR/PM/2016","Congo, Democrat","ZR","FIRME EN CHARGE DE LÃ¢  ACCOMPAGNEMENT TECHNIQUE DES DEMOBIL","2016-10-04T00:00:00.000","2017","Social Protection","CONSULTANT SERVICES","Single Source Selection","Management /Technical Advice","IBRD/IDA","P152903","Reinsertion and Reintegration Project","AFRICA","INPP","693136.06","Congo, Democrat","ZR","1544193"
"2018-04-10T00:00:00.000","EAFS/PFM2/DIRECT/2014/0044","Somalia","SO","Consultancy for PFM Education and Training Program","2016-09-28T00:00:00.000","2017","Public Admin","CONSULTANT SERVICES","Single Source Selection","Project Management","Recipient Executed A","P151492","SO-Pub Financial Management Capacity Str","AFRICA","INTERNATIONAL TRAINING CENTRE OF INTERNATIONAL LABOUR ORGANI","224000.00","World","1W","1543803"
"2018-04-10T00:00:00.000","110/PMEDE/SNEL/DG/DEQ/CDP/CPM/KN","Africa","3A","MISE EN OEUVRE DES ACTIONS PRIORITAIRES DU PLAN DE GESTION E","2016-10-27T00:00:00.000","2017","Energy & Extractives","CONSULTANT SERVICES","Quality And Cost-Based Selection","Management /Technical Advice","IBRD/IDA","P097201","Reg&Domestic Pwr Mkt  Dev.  (FY07)","AFRICA","DEMOCRITUS / ENVIROIL","204227.00","South Africa","ZA","1543907"
"2018-04-10T00:00:00.000","N/A AVENANT CONTRAT","Congo, Democrat","ZR","CONTRAT DE BAIL RELATIF A LA LOCATION DE LÃ¢  IMMEUBLE ABRIT","2016-09-28T00:00:00.000","2017","Public Admin","NON-CONSULTING SERVICES","National Competitive Bidding","Other Operational Services","Recipient Executed A","P125509","ZR Catalytic Proj. Strengthen the INS","AFRICA","TSHIANGALA NYANDU MUMONA MALU VALÉRIEN","94800.00","Congo, Democrat","ZR","1543225"
"2018-04-10T00:00:00.000","CONVENTION CADRE 030","Western Africa","3W","Convention cadre","2016-10-07T00:00:00.000","2017","Agriculture","CONSULTANT SERVICES","Single Source Selection","Management /Technical Advice","IBRD/IDA","P122065","West Africa Agric Prod Progrm (WAAPP-1C)","AFRICA","WAAPP TOGO","17993.67","Togo","TG","1544244"
"2018-04-10T00:00:00.000","109/PMEDE/SNEL/DG/DEQ/CDP/CPM/KN","Africa","3A","FORMATION THEORIQUE ET PRATIQUE SUR LA GESTION ET LE TRAITEM","2016-10-14T00:00:00.000","2017","Energy & Extractives","CONSULTANT SERVICES","Single Source Selection","Training Services","IBRD/IDA","P097201","Reg&Domestic Pwr Mkt  Dev.  (FY07)","AFRICA","DEMOCRITUS / SECHE - TREDI","138883.00","South Africa","ZA","1543905"
"2018-04-10T00:00:00.000","NO. CFEF/PDPC-C1/H860-ZR/2016/PM","Congo, Democrat","ZR","SERVICE DE CONSULTANT CHARGE DU CONTROLE DES TRAVAUX DE REHA","2016-12-16T00:00:00.000","2017","Agriculture","CONSULTANT SERVICES","Single Source Selection","Construction Supervision","IBRD/IDA","P124720","DRC Western Growth Poles Project","AFRICA","GROUPEMENT AGRER-GBC","857870.00","Belgium","BE","1544556"
"2018-04-10T00:00:00.000","N.265/PASAG/CEPTM-UPK/C/LDWM/PM/","Congo, Democrat","ZR","SERVICES DE CONSULTANT CHARGE DU CONTROLE ET DE LA SURVEILLA","2016-11-04T00:00:00.000","2017","Transportation","CONSULTANT SERVICES","Single Source Selection","Construction Supervision","IBRD/IDA","P153085","DRC-Goma Airport Project","AFRICA","SGI INTERNATIONAL SA","334860.60","France","FR","1544212"
"2018-04-10T00:00:00.000","NO265/PASAG/CEPTM-UPK/C/LDWM/PM/","Congo, Democrat","ZR","SERVICES DE CONSULTANT CHARGE DU CONTROLE ET DE LA SURVEILLA","2016-11-04T00:00:00.000","2017","Transportation","CONSULTANT SERVICES","Single Source Selection","Construction Supervision","IBRD/IDA","P153085","DRC-Goma Airport Project","AFRICA","SGI INTERNATIONAL SA","334860.60","France","FR","1546679"
"2018-04-10T00:00:00.000","N 270/PASAG/CEPTM-UPK/CN/LDWM/PM","Congo, Democrat","ZR","FOURNITURE DES MATERIELS ET EQUIPEMENTS DE BALISAGE LUMINEUX","2016-11-14T00:00:00.000","2017","Transportation","GOODS","Direct Selection","Miscellaneous","IBRD/IDA","P153085","DRC-Goma Airport Project","AFRICA","SAFEGATE GERMANY GMBH","624567.93","Germany","DE","1546680"
"2018-04-10T00:00:00.000","NO. 263/PASAG/CEPTM-UPK/LDWM/PM/","Congo, Democrat","ZR","TRAVAUX DE CONSTRUCTION D'UN COLLECTEUR POUR L'AVACUATION DE","2016-10-07T00:00:00.000","2017","Transportation","CIVIL WORKS","International Competitive Bidding","Works, Building","IBRD/IDA","P153085","DRC-Goma Airport Project","AFRICA","SAFRICAS-CONGO","2905171.36","Congo, Democrat","ZR","1543755"
"2018-04-10T00:00:00.000","UC-PSAC/16","Cote d'Ivoire","CI","Prestation de services pour les activites du Conseil Agricol","2017-01-06T00:00:00.000","2017","Agriculture","CONSULTANT SERVICES","Single Source Selection","Administrative Services","IBRD/IDA","P119308","CI: Agriculture Sector Support Project","AFRICA","FIRCA","213791.25","Cote d'Ivoire","CI","1544922"
"2018-04-10T00:00:00.000","NO. 00798/2016/AMI/MERF-REDD+/PI","Togo","TG","Analyse socioÃÂ©conomique de la contribution du secteur for","2016-11-15T00:00:00.000","2017","Agriculture","CONSULTANT SERVICES","Consultant Qualification  Selection","Management /Technical Advice","Carbon Offset","P149942","REDD  Readiness preparation in Togo","AFRICA","CABINET LMDE","55760.18","Togo","TG","1545338"
"2018-04-10T00:00:00.000","006/SAPMP/SNEL/DG/DEQ/CDP/CPM/KN","Africa","3A","AUDIT FINANCIER ET COMPTABLE ET DES PROCEDURES DE PASSATION","2016-11-14T00:00:00.000","2017","Energy & Extractives","CONSULTANT SERVICES","Single Source Selection","Audit Services","IBRD/IDA","P069258","Southern Afr Power Mrkt APL 1 (FY04)","AFRICA","KPMG RDC SA","57100.00","Congo, Democrat","ZR","1543930"
"2018-04-10T00:00:00.000","#","Burkina Faso","BF","Diagnostic socio-foncier et planification participative REDD","2016-10-11T00:00:00.000","2017","Agriculture","CONSULTANT SERVICES","Quality And Cost-Based Selection","Project Management","Recipient Executed A","P143993","Burkina Faso - FIP - Forest Mgmt.","AFRICA","INSUCO BF","493238.15","Burkina Faso","BF","1543862"
"2018-04-10T00:00:00.000","0274/AV/MINMAP/DGMI/DMAI/CE2/SAJ","Cameroon","CM","SERVICES DÃ¢  UN INGENIEUR CONSEIL POUR LA MAITRISE DÃ¢  Ã","2016-11-03T00:00:00.000","2017","Energy & Extractives","CONSULTANT SERVICES","Quality And Cost-Based Selection","Management /Technical Advice","IBRD/IDA","P104456","CM-Energy Sector Development SIL (FY08)","AFRICA","GROUPEMENT SOFRECO/NETGROUP","2619.43","France","FR","1545077"
"2018-04-10T00:00:00.000","2016-0-1-0371/02-24","Cote d'Ivoire","CI","Mission de contractualisation et verification des performanc","2016-11-07T00:00:00.000","2017","Health","CONSULTANT SERVICES","Consultant Qualification  Selection","Health Services","IBRD/IDA","P147740","Health Systems Strengthen. & Ebola Prep.","AFRICA","GLOBAL CHALLENGE CORPORATION (GCC)","4284426.46","Cote d'Ivoire","CI","1546129"
"2018-04-10T00:00:00.000","CWSB/WASSIP-AF/C/37/2016","Kenya","KE","Consultancy Services for Water Supply Master Plan Study for","2016-10-05T00:00:00.000","2017","Water/Sanit/Waste","CONSULTANT SERVICES","Single Source Selection","Feasibility Studies","IBRD/IDA","P096367","KE-Water & Sanitation Srv Impr (FY08)","AFRICA","ZAMCONSULT CONSULTING ENGINEERS","832036.02","Kenya","KE","1544071"
"2018-04-10T00:00:00.000","NO. 00796/2016/AMI/MERF-REDD+/PI","Togo","TG","Etude sur la determination des pÃÂ©riodes pour les feux prÃ","2016-11-15T00:00:00.000","2017","Agriculture","CONSULTANT SERVICES","Consultant Qualification  Selection","Feasibility Studies","Carbon Offset","P149942","REDD  Readiness preparation in Togo","AFRICA","GRPMT ID-SAHEL/BETRA","54331.56","Togo","TG","1545340"
"2018-04-10T00:00:00.000","NO. 00795/2016/ED/MERF-REDD+/PI/","Togo","TG","Conception des supports d'information et de communication su","2016-11-15T00:00:00.000","2017","Agriculture","CONSULTANT SERVICES","Consultant Qualification  Selection","Design Services","Carbon Offset","P149942","REDD  Readiness preparation in Togo","AFRICA","HERMES COMMUNICATION","29086.19","Togo","TG","1545341"
"2018-04-10T00:00:00.000","NÃÂ° 003/PDU/SERV/2016","Congo, Democrat","ZR","MISSION DE SURVEILLANCE ET DE CONTRÃ LE DES TRAVAUX DE REHA","2016-10-10T00:00:00.000","2017","Water/Sanit/Waste","CONSULTANT SERVICES","Single Source Selection","Construction Supervision","IBRD/IDA","P129713","DRC Urban Development Project","AFRICA","GTAH & SECT","1187893.78","Burkina Faso","BF","1544256"
"2018-04-10T00:00:00.000","EIAR/AGPII/UNOPS 1","Ethiopia","ET","Procurement of vehicles and tractors","2016-10-03T00:00:00.000","2017","Agriculture","GOODS","Direct Selection","Equipment, Transportation","IBRD/IDA","P148591","Second Agricultural Growth Project","AFRICA","UNITED NATIONS OFFICE PROJECT SERVICES (UNOPS)","2549462.39","World","1W","1543193"
"2018-04-10T00:00:00.000","07/2016/UAT-EPT/FRN/PAUET","Madagascar","MG","FOURNITURE ET LIVRAISON SUR SITE DE SACS A DOS COMPLEMENTAIR","2016-10-21T00:00:00.000","2017","Education","GOODS","International Competitive Bidding","Equipment, Educational","Recipient Executed A","P132616","MG-Emergency Support to Education for Al","AFRICA","NINGBO BUY BEST INTERNATIONAL TRADING","957203.03","China","CN","1544081"
"2018-04-10T00:00:00.000","07/2016/UAT-EPT/FRN/PAUET","Madagascar","MG","FOURNITURE ET LIVRAISON SUR SITE DE SACS A DOS COMPLEMENTAIR","2016-10-21T00:00:00.000","2017","Education","GOODS","International Competitive Bidding","Equipment, Educational","Recipient Executed A","P132616","MG-Emergency Support to Education for Al","AFRICA","SOCIÉTÉ JB MADAGASCAR","957203.03","Madagascar","MG","1544081"
"2018-04-10T00:00:00.000","NO. 00722/DGMP/DSP2016","Mali","ML","Controle et surveillance des travaux d'amenagement de voirie","2016-10-11T00:00:00.000","2017","Public Admin","CIVIL WORKS","National Competitive Bidding","Works, Infrastructure","IBRD/IDA","P116602","ML-Urban Local Government Support Projec","AFRICA","TECHNI CONSULT","182306.51","Mali","ML","1544124"
"2018-04-10T00:00:00.000","MOERD/WALP/SHOPPING/2016/CNT0007","Somalia","SO","Construction of the MoERD Hargeisa Office","2016-10-08T00:00:00.000","2017","Water/Sanit/Waste","CIVIL WORKS","Shopping","Works, Building","Recipient Executed A","P152024","SO-Water for Agropastoral Livelihood Pil","AFRICA","TAYO CONSTRUCTION COMPANY","31352.80","Somalia","SO","1544094"
"2018-04-10T00:00:00.000","IBRD FINANCED","Somalia","SO","Consultancy Services SUIPP Garowe PIU M&E Specialist","2016-10-03T00:00:00.000","2017","Public Admin","CONSULTANT SERVICES","Consultant Qualification  Selection","Project Management","Recipient Executed A","P150374","Somali Urban Investment Planning","AFRICA","ABDINASIR ABDULLAHI BARRE","47700.00","Somalia","SO","1543328"
"2018-04-10T00:00:00.000","IBRD-FINANCED","Somalia","SO","Consultancy Services -SUIPP Garowe PIU Coordinator","2016-10-03T00:00:00.000","2017","Public Admin","CONSULTANT SERVICES","Consultant Qualification  Selection","Project Management","Recipient Executed A","P150374","Somali Urban Investment Planning","AFRICA","MOHAMED ABDIRAHAMAN GURE","81900.00","Somalia","SO","1543338"
"2018-04-10T00:00:00.000","MOF/PFMII/DC/2016/0069","Somalia","SO","PSU and EAU Universities Supply and Installation of Internet","2016-10-12T00:00:00.000","2017","Public Admin","NON-CONSULTING SERVICES","Direct Selection","Other Operational Services","Recipient Executed A","P151492","SO-Pub Financial Management Capacity Str","AFRICA","SOMTEL","58140.00","Somalia","SO","1544077"
"2018-04-10T00:00:00.000","EMUS/WKS/SLF/07/08/16","Liberia","LR","Contract for construction of Access Road to the New Sanitary","2016-10-05T00:00:00.000","2017","Water/Sanit/Waste","CIVIL WORKS","Shopping","Works, Infrastructure","IBRD/IDA","P115664","LR-Emergency Monrovia Urban Sanitation","AFRICA","WESTWOOD CORPORATION","199936.99","Liberia","LR","1543646"
"2018-04-10T00:00:00.000","19/CEP-PEMU/COPIRE/10/2016","Congo, Democrat","ZR","Contrat de services et audits y relatifs","2016-10-10T00:00:00.000","2017","Water/Sanit/Waste","CONSULTANT SERVICES","Single Source Selection","Audit Services","IBRD/IDA","P091092","DRC Urban Water Supply Project (FY09)","AFRICA","GROUPEMENT ERANOVE ET SÉNÉGALAISE DES","7592298.55","Senegal","SN","1546403"
"2018-04-10T00:00:00.000","S/07/ICB/RP/IDA/2007EFY","Ethiopia","ET","Consultancy Services for Nekemte-Bure Road Upgrading Project","2016-10-14T00:00:00.000","2017","Transportation","CONSULTANT SERVICES","Quality And Cost-Based Selection","Construction Supervision","IBRD/IDA","P131118","Ethiopia - Road Sector Support Project","AFRICA","RENARDET S.A","1746492.65","Swaziland","SZ","1543659"
"2018-04-10T00:00:00.000","S/08/ICB/RP/IDA/2007EFY","Ethiopia","ET","Consultancy Services for Nekemte-Bure Road Upgrading Project","2016-10-14T00:00:00.000","2017","Transportation","CONSULTANT SERVICES","Quality And Cost-Based Selection","Construction Supervision","IBRD/IDA","P131118","Ethiopia - Road Sector Support Project","AFRICA","LEA INTERNATIONAL LTD","2404833.28","Canada","CA","1543660"
"2018-04-10T00:00:00.000","002/TRAV/ECAM/IDA-PURI/10/2016","Burundi","BI","Travaux de canalisation des riviÃÂ¨res Nyabagere et Gasenyi","2016-10-28T00:00:00.000","2017","Transportation","CIVIL WORKS","National Competitive Bidding","Works, Infrastructure","IBRD/IDA","P150929","BI-Infrastructure Resilience Emergency","AFRICA","ECAM","337510.55","Burundi","BI","1544469"
"2018-04-10T00:00:00.000","002/TRAV/ECAM/IDA-PURI/10/2016","Burundi","BI","Travaux de canalisation des riviÃÂ¨res Nyabagere et Gasenyi","2016-10-28T00:00:00.000","2017","Transportation","CIVIL WORKS","National Competitive Bidding","Works, Infrastructure","IBRD/IDA","P150929","BI-Infrastructure Resilience Emergency","AFRICA","ECBROH","337510.55","Burundi","BI","1544469"
"2018-04-10T00:00:00.000","002/TRAV/ERCON/IDA-PURI/10/2016","Burundi","BI","Travaux de canalisation des riviÃÂ¨res Nyabagere et Gasenyi","2016-10-27T00:00:00.000","2017","Transportation","CIVIL WORKS","Direct Selection","Works, Maintenance and Rehabilitation","IBRD/IDA","P150929","BI-Infrastructure Resilience Emergency","AFRICA","ERCON","1135212.11","Burundi","BI","1545336"
"2018-04-10T00:00:00.000","002/TRAV/ECBROH/IDA-PURI/10/2016","Burundi","BI","Travaux de canalisation des riviÃ ÃÂ¨res Nyabagere et Gase","2016-10-26T00:00:00.000","2017","Transportation","CIVIL WORKS","National Competitive Bidding","Works, Maintenance and Rehabilitation","IBRD/IDA","P150929","BI-Infrastructure Resilience Emergency","AFRICA","ECBROH","831548.47","Burundi","BI","1545344"
"2018-04-10T00:00:00.000","002/TRAV/ROBUCO/IDA-PURI/10/2016","Burundi","BI","Travaux de canalisation des riviÃÂ¨res Nyabagere et Gasenyi","2016-10-26T00:00:00.000","2017","Transportation","CIVIL WORKS","National Competitive Bidding","Works, Maintenance and Rehabilitation","IBRD/IDA","P150929","BI-Infrastructure Resilience Emergency","AFRICA","ROBUCO","748082.78","Burundi","BI","1545350"
"2018-04-10T00:00:00.000","002/TRAV/SOCOA/IDA-PURI/10/2016","Burundi","BI","Travaux de canalization des riviÃÆÃÂ¨res Nyabagere et Gas","2016-10-26T00:00:00.000","2017","Transportation","CIVIL WORKS","National Competitive Bidding","Works, Maintenance and Rehabilitation","IBRD/IDA","P150929","BI-Infrastructure Resilience Emergency","AFRICA","L'ENTREPRISE SOCOA","954627.02","Burundi","BI","1545357"
"2018-04-10T00:00:00.000","002/TRAV/ERCON/IDA-PURI/10/2016","Burundi","BI","Travaux de canalisation des rivieres Nyabagere et Gasenyi Lo","2016-10-27T00:00:00.000","2017","Transportation","CIVIL WORKS","National Competitive Bidding","Works, Maintenance and Rehabilitation","IBRD/IDA","P150929","BI-Infrastructure Resilience Emergency","AFRICA","ERCON","1122382.72","Burundi","BI","1545360"
"2018-04-10T00:00:00.000","002/TRAV/ECAM/IDA-PURI/10/2016","Burundi","BI","Travaux de canalisation des riviÃÂ¨res Nyabagere et Gasenyi","2016-10-28T00:00:00.000","2017","Transportation","CIVIL WORKS","Shopping","Works, Maintenance and Rehabilitation","IBRD/IDA","P150929","BI-Infrastructure Resilience Emergency","AFRICA","ECAM","288873.72","Burundi","BI","1545359"
"2018-04-10T00:00:00.000","262/CEP-PEMU/ COORD/","Congo, Democrat","ZR","DÃ©termination des conditions dâÃ©coulement dans le lit du","2016-10-10T00:00:00.000","2017","Water/Sanit/Waste","CIVIL WORKS","Direct Selection","Works, Installation","IBRD/IDA","P091092","DRC Urban Water Supply Project (FY09)","AFRICA","DÉPARTEMENT DE GÉNIE CIVIL DE LA FACUL","47120.00","Congo, Democrat","ZR","1543460"
"2018-04-10T00:00:00.000","PFM-PFML/QCBS/BY/SEEFOR/001/2014","Nigeria","NG","Implementation of Budget, Accounting, Expenditure Control an","2016-12-13T00:00:00.000","2017","Public Admin","CONSULTANT SERVICES","Quality And Cost-Based Selection","Financial Services","IBRD/IDA","P121455","NG-State Employment and Expenditure","AFRICA","LINPICO SARL","720250.00","France","FR","1545549"
"2018-04-10T00:00:00.000","002/TRAV/ECBROH/IDA-PURI/10/2016","Burundi","BI","Travaux de canalisation des riviÃ¨res Nyabagere et Gasenyi L","2016-10-26T00:00:00.000","2017","Transportation","CIVIL WORKS","National Competitive Bidding","Works, Infrastructure","IBRD/IDA","P150929","BI-Infrastructure Resilience Emergency","AFRICA","ECBROH","788620.40","Burundi","BI","1544474"
"2018-04-10T00:00:00.000","169/PDSS/2016/SC","Congo, Democrat","ZR","Contrat pour la conduite des missions dÃÂ¢  Ã ÃÂ©tat des","2016-10-11T00:00:00.000","2017","(H)Health & social","CONSULTANT SERVICES","Single Source Selection","Institution building","IBRD/IDA","P147555","DRC -Health System Strengthening Project","AFRICA","EUP BANDUNDU","733579.00","Congo, Democrat","ZR","1543390"
"2018-04-10T00:00:00.000","01/CEP-PEMU/FA/COORD/ED/SC/2016","Congo, Democrat","ZR","Protocole dâAccord dans le cadre de la gestion des activit","2016-10-28T00:00:00.000","2017","Water/Sanit/Waste","CONSULTANT SERVICES","Single Source Selection","Management /Technical Advice","IBRD/IDA","P091092","DRC Urban Water Supply Project (FY09)","AFRICA","COPIREP","360000.00","Congo, Democrat","ZR","1546402"
"2018-04-10T00:00:00.000","A1/W01/DNGRH/16","Mozambique","MZ","Rehalitation works for the Nante Dykes","2016-09-30T00:00:00.000","2017","Water/Sanit/Waste","CIVIL WORKS","Request for Bids","Not assigned","IBRD/IDA","P156559","MZ - Emergency Recovery Project","AFRICA","CONSTRUÇÕES JJR & FILHOS MOÇAMBIQUE","5227831.58","Mozambique","MZ","1543304"
"2018-04-10T00:00:00.000","C1/CO8/DNGRH/16","Mozambique","MZ","Environmental and Social Management Framework","2016-10-03T00:00:00.000","2017","Water/Sanit/Waste","CONSULTANT SERVICES","Direct Selection","Not assigned","IBRD/IDA","P156559","MZ - Emergency Recovery Project","AFRICA","EDUARDO SALDANHA LANGA","78990.00","Mozambique","MZ","1543303"
"2018-04-10T00:00:00.000","NO. 024/2016/MDBAJEJ/PDC/ST","Togo","TG","Contrat de service entre le ST PDC+ et CADI en charge de l'o","2016-10-11T00:00:00.000","2017","Water/Sanit/Waste","CONSULTANT SERVICES","Consultant Qualification  Selection","Management /Technical Advice","IBRD/IDA","P127200","TG Community Development and Safety Nets","AFRICA","CADI TOGO","271030.77","Togo","TG","1543724"
"2018-04-10T00:00:00.000","NO. 035/2016/MDBAJEJ/PDC/ST","Togo","TG","Contrat de service entre le ST PDC+ et la Croix rouge togola","2016-10-14T00:00:00.000","2017","Water/Sanit/Waste","CONSULTANT SERVICES","Consultant Qualification  Selection","Management /Technical Advice","IBRD/IDA","P127200","TG Community Development and Safety Nets","AFRICA","CRT PLATEAUX","254109.10","Togo","TG","1543725"
"2018-04-10T00:00:00.000","NO. 037/2016/MDBAJEJ/PDC/ST","Togo","TG","Contrat de service entre le ST PDC+ et FIADI en charge de l'","2016-10-14T00:00:00.000","2017","Water/Sanit/Waste","CONSULTANT SERVICES","Consultant Qualification  Selection","Management /Technical Advice","IBRD/IDA","P127200","TG Community Development and Safety Nets","AFRICA","FIADI","156712.84","Togo","TG","1543726"
"2018-04-10T00:00:00.000","NO. 027/2016/MDBAJEJ/PDC/ST","Togo","TG","Contrat de service entre le ST PDC+ et MECAP-FR-TOGO en char","2016-10-14T00:00:00.000","2017","Water/Sanit/Waste","CONSULTANT SERVICES","Consultant Qualification  Selection","Management /Technical Advice","IBRD/IDA","P127200","TG Community Development and Safety Nets","AFRICA","MECAP FR TOGO","277378.55","Togo","TG","1543728"
